Latvia,LVA,17926.84159
"Macao SAR, China",MAC,86197.36569
St. Martin (French part),MAF,
Morocco,MAR,3235.00066
Monaco,MCO,189487.1471
Moldova,MDA,4491.688827
Madagascar,MDG,522.9895243
Maldives,MDV,10561.61351
Middle East & North Africa,MEA,7458.022736
Mexico,MEX,9950.45008
Marshall Islands,MHL,4073.10983
Middle income,MIC,5481.373758
North Macedonia,MKD,6070.388054
Mali,MLI,879.0431873
Malta,MLT,30186.19596
Myanmar,MMR,1271.111575
Middle East & North Africa (excluding high income),MNA,3449.765626
Montenegro,MNE,8910.650834
Mongolia,MNG,4404.84583
Northern Mariana Islands,MNP,20659.64029
Mozambique,MOZ,506.6416391
Mauritania,MRT,1743.302901
Mauritius,MUS,11097.16898
Malawi,MWI,591.8463896
Malaysia,MYS,11432.823
North America,NAC,63341.62427
Namibia,NAM,5009.685904
New Caledonia,NCL,34788.52928
Niger,NER,554.0993893
Nigeria,NGA,2229.858652
Nicaragua,NIC,1926.699694
Netherlands,NLD,52476.27325
Norway,NOR,75719.7529
Nepal,NPL,1194.956876
Nauru,NRU,11029.73558
New Zealand,NZL,42755.21626
OECD members,OED,39550.78276
Oman,OMN,17700.70349
Other small states,OSS,13799.60561
Pakistan,PAK,1288.556325
Panama,PAN,15774.25494
Peru,PER,7027.612207
Philippines,PHL,3485.340844
Palau,PLW,15232.48708
Papua New Guinea,PNG,2820.306397
Poland,POL,15732.20313
Pre-demographic dividend,PRE,1489.822323
Puerto Rico,PRI,32850.54861
"Korea, Dem. People's Rep.",PRK,
Portugal,PRT,23330.81729
Paraguay,PRY,5380.963322
West Bank and Gaza,PSE,3656.858271
Pacific island small states,PSS,4270.411064
Post-demographic dividend,PST,45816.80834
French Polynesia,PYF,
Qatar,QAT,62276.42869
Romania,ROU,12899.34611
Russian Federation,RUS,11497.64925
Rwanda,RWA,820.1492886
South Asia,SAS,1959.525845
Saudi Arabia,SAU,23139.79798
Sudan,SDN,610.9278615
Senegal,SEN,1430.148259
Singapore,SGP,65640.70795
Solomon Islands,SLB,2344.048976
Sierra Leone,SLE,521.7548367
El Salvador,SLV,4167.730939
San Marino,SMR,47731.20854
Somalia,SOM,419.3948077
Serbia,SRB,7417.203649
Sub-Saharan Africa (excluding high income),SSA,1628.841127
South Sudan,SSD,
Sub-Saharan Africa,SSF,1630.127378
Small states,SST,12594.69002
Sao Tome and Principe,STP,1987.579702
Suriname,SUR,6853.693411
Slovak Republic,SVK,19303.54566
Slovenia,SVN,25942.95477
Sweden,SWE,51939.42974
Eswatini,SWZ,3915.643467
Sint Maarten (Dutch part),SXM,
Seychelles,SYC,16213.48076
Syrian Arab Republic,SYR,1334.370593
Turks and Caicos Islands,TCA,31350.86663
Chad,TCD,709.5400432
East Asia & Pacific (IDA & IBRD countries),TEA,8235.583677
Europe & Central Asia (IDA & IBRD countries),TEC,9013.795649
Togo,TGO,893.3524541
Thailand,THA,7817.009671
Tajikistan,TJK,890.5444024
Turkmenistan,TKM,7612.03518
Latin America & the Caribbean (IDA & IBRD countries),TLA,8525.421861
Timor-Leste,TLS,1583.713576
Middle East & North Africa (IDA & IBRD countries),TMN,3447.243891
Tonga,TON,4903.012138
South Asia (IDA & IBRD),TSA,1959.525845
Sub-Saharan Africa (IDA & IBRD countries),TSS,1630.127378
Trinidad and Tobago,TTO,16637.16294
Tunisia,TUN,3574.654024
Turkey,TUR,9121.515167
Tuvalu,TUV,4055.89561
Tanzania,TZA,1085.88486
Uganda,UGA,798.5857341
Ukraine,UKR,3661.456204
Upper middle income,UMC,9572.872787
Uruguay,URY,17688.01501
United States,USA,65279.52903
Uzbekistan,UZB,1784.009816
St. Vincent and the Grenadines,VCT,7460.153362
"Venezuela, RB",VEN,
British Virgin Islands,VGB,
Virgin Islands (U.S.),VIR,38136.66576
Vietnam,VNM,2715.27598
Vanuatu,VUT,3116.297759
World,WLD,11396.98847
Samoa,WSM,4322.868457
Kosovo,XKX,4416.108358
"Yemen, Rep.",YEM,
South Africa,ZAF,6624.761865
Zambia,ZMB,1305.001031
Zimbabwe,ZWE,1316.740657
